Front,Back
"What AD does a directly connected route have?","0"
"What AD does a static route have by default?","1"
"What AD does eBGP have?","20"
"What AD does OSPF have?","110"
"What AD does RIP have?","120"
"What AD does iBGP have?","200"
"On a multi-access OSPF segment, which two roles form FULL adjacency with everyone?","DR and BDR"
"What STP port state directly precedes forwarding?","Learning"
"What does PortFast do?","Skips listening/learning on access ports, going straight to forwarding"
"What's the difference between BPDU guard and root guard?","BPDU guard err-disables a port that receives a BPDU; root guard prevents a port from becoming root port if it receives a superior BPDU"
"What does DTP do?","Negotiates trunking between two switch ports automatically"
"What port security violation mode drops traffic but keeps the port up?","Restrict"
"What port security violation mode err-disables the port?","Shutdown"
"What does HSRP preemption do?","Lets a higher-priority router reclaim the active role after it comes back online"
"What's the usable host range formula for a /27?","2^(32-27) - 2 = 30 usable hosts"
"What class and default mask does 172.16.0.0 belong to?","Class B, /16"
"What's the private IPv4 range for Class A?","10.0.0.0 – 10.255.255.255"
"What's the private IPv4 range for Class B?","172.16.0.0 – 172.31.255.255"
"What's the private IPv4 range for Class C?","192.168.0.0 – 192.168.255.255"
"What IPv6 address type starts with fe80::/10?","Link-local"
"What IPv6 address type is roughly equivalent to public IPv4?","Global unicast (GUA)"
"What does EUI-64 do?","Generates a 64-bit interface ID from a MAC address for IPv6 SLAAC"
"What NAT type maps many private IPs to one public IP using ports?","PAT (NAT overload)"
"What port does SSH use by default?","TCP 22"
"What port does DNS use by default?","UDP/TCP 53"
"What port does DHCP server listen on?","UDP 67 (client: UDP 68)"
"What syslog severity level is most urgent?","0 (Emergency)"
"What syslog severity level is least urgent?","7 (Debugging)"
"What does a standard ACL filter on?","Source IP address only"
"What does an extended ACL filter on?","Source and destination IP, protocol, and port"
"What HTTP method retrieves a resource via REST API?","GET"
"What HTTP method creates a new resource via REST API?","POST"
"What HTTP status code means Unauthorized?","401"
"What HTTP status code means Not Found?","404"
"Is Ansible agent-based or agentless?","Agentless — uses SSH/APIs"
"What does CDP stand for and who uses it?","Cisco Discovery Protocol — Cisco devices only"
"What does LLDP stand for and who uses it?","Link Layer Discovery Protocol — vendor-neutral"
